StatNam;StatNr;praef;Fangradius;DEN;WTC;n1;n2;Erfassungsquote;Anfang;Ende;Dauer;Leq
Hanau/Steinheim 1;72;2500;2000;D;H;2821;3107;91%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;47.604709434123s
Hanau/Steinheim 1;72;2500;2000;D;L;42;78;54%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;19.9164311543297s
Hanau/Steinheim 1;72;2500;2000;D;M;5770;7427;78%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;45.4965996478862s
Hanau/Steinheim 1;72;2500;2000;D;NA;105;133;79%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;30.9432340643562s
Hanau/Steinheim 1;72;2500;2000;E;H;1029;1148;90%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;46.1222503190636s
Hanau/Steinheim 1;72;2500;2000;E;L;20;40;50%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;20.1430861226841s
Hanau/Steinheim 1;72;2500;2000;E;M;2777;3384;82%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;46.3692679765695s
Hanau/Steinheim 1;72;2500;2000;E;NA;49;60;82%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;29.732734139723s
Hanau/Steinheim 1;72;2500;2000;N;H;81;446;18%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;32.1774052036108s
Hanau/Steinheim 1;72;2500;2000;N;L;6;62;10%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;13.2961353752045s
Hanau/Steinheim 1;72;2500;2000;N;M;2349;4402;53%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;42.6624427088131s
Hanau/Steinheim 1;72;2500;2000;N;NA;7;40;18%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;17.4642615607176s
Hanau/Steinheim 1;72;2500;2500;D;H;3546;4224;84%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;48.236624705538s
Hanau/Steinheim 1;72;2500;2500;D;L;42;78;54%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;19.9164311543297s
Hanau/Steinheim 1;72;2500;2500;D;M;7973;10305;77%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;47.9236502872209s
Hanau/Steinheim 1;72;2500;2500;D;NA;146;195;75%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;31.9393299042534s
Hanau/Steinheim 1;72;2500;2500;E;H;1147;1355;85%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;46.3691583471711s
Hanau/Steinheim 1;72;2500;2500;E;L;20;40;50%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;20.1430861226841s
Hanau/Steinheim 1;72;2500;2500;E;M;3516;4330;81%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;47.7878362223065s
Hanau/Steinheim 1;72;2500;2500;E;NA;53;68;78%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;29.8527976819929s
Hanau/Steinheim 1;72;2500;2500;N;H;106;1033;10%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;32.7934120610359s
Hanau/Steinheim 1;72;2500;2500;N;L;6;63;10%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;13.2961353752045s
Hanau/Steinheim 1;72;2500;2500;N;M;2905;7615;38%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;43.729864506285s
Hanau/Steinheim 1;72;2500;2500;N;NA;8;74;11%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;17.8072051650691s
Hanau/Steinheim 1;72;2500;3000;D;H;3558;4255;84%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;48.2412063268909s
Hanau/Steinheim 1;72;2500;3000;D;L;42;79;53%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;19.9164311543297s
Hanau/Steinheim 1;72;2500;3000;D;M;7985;10337;77%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;47.9307904228745s
Hanau/Steinheim 1;72;2500;3000;D;NA;147;196;75%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;31.963914033992s
Hanau/Steinheim 1;72;2500;3000;E;H;1148;1357;85%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;46.3709777633904s
Hanau/Steinheim 1;72;2500;3000;E;L;20;40;50%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;20.1430861226841s
Hanau/Steinheim 1;72;2500;3000;E;M;3522;4346;81%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;47.7936350831962s
Hanau/Steinheim 1;72;2500;3000;E;NA;53;68;78%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;29.8527976819929s
Hanau/Steinheim 1;72;2500;3000;N;H;106;1066;10%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;32.7934120610359s
Hanau/Steinheim 1;72;2500;3000;N;L;6;67;9%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;13.2961353752045s
Hanau/Steinheim 1;72;2500;3000;N;M;2910;7764;37%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;43.7394808563329s
Hanau/Steinheim 1;72;2500;3000;N;NA;8;78;10%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;17.8072051650691s
Hanau/Steinheim 1;72;2500;3500;D;H;3559;4260;84%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;48.2418238683304s
Hanau/Steinheim 1;72;2500;3500;D;L;42;79;53%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;19.9164311543297s
Hanau/Steinheim 1;72;2500;3500;D;M;7990;10350;77%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;47.9320873923412s
Hanau/Steinheim 1;72;2500;3500;D;NA;147;196;75%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;31.963914033992s
Hanau/Steinheim 1;72;2500;3500;E;H;1150;1360;85%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;46.3725448267907s
Hanau/Steinheim 1;72;2500;3500;E;L;20;40;50%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;20.1430861226841s
Hanau/Steinheim 1;72;2500;3500;E;M;3527;4357;81%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;47.8058158644303s
Hanau/Steinheim 1;72;2500;3500;E;NA;53;68;78%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;29.8527976819929s
Hanau/Steinheim 1;72;2500;3500;N;H;106;1082;10%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;32.7934120610359s
Hanau/Steinheim 1;72;2500;3500;N;L;6;67;9%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;13.2961353752045s
