StatNam;StatusNr;DEN;n;arithMSEL;arithMLasMax;arithMLasMaxCalc
Mainz/Universitätsmedizin;-43;E;4;NA;0;50,7
Mainz/Universitätsmedizin;-43;N;3;NA;0;64,2666666666667
Mainz/Universitätsmedizin;-41;D;3282;NA;0;62,4122790981109
Mainz/Universitätsmedizin;-41;E;194;NA;0;62,6201030927835
Mainz/Universitätsmedizin;-41;N;16;NA;0;64,55
Mainz/Universitätsmedizin;0;D;707;75,8398161244696;65,3253182461103;62,9415841584158
Mainz/Universitätsmedizin;0;E;297;75,0686195286195;64,8181818181818;63,0646464646465
Mainz/Universitätsmedizin;0;N;223;75,5358744394619;64,3363228699552;63,4941704035874
Rodgau;-88;D;71;NA;63,3661971830986;58,7225352112676
Rodgau;-88;E;22;NA;64,3181818181818;57,5227272727273
Rodgau;-88;N;2;NA;65,5;61,75
Rodgau;-64;D;4;NA;64;58,675
Rodgau;-64;E;2;NA;65,5;62
Rodgau;-62;D;12;NA;60,0833333333333;61,3083333333333
Rodgau;-62;E;3;NA;62,3333333333333;40,5
Rodgau;-62;N;1;NA;55;58,7
Rodgau;-56;D;3;NA;73,6666666666667;60,6666666666667
Rodgau;-56;E;5;NA;73,4;58,98
Rodgau;-54;D;686;NA;59,067055393586;60,9723032069971
Rodgau;-54;E;377;NA;59,1883289124668;59,1400530503979
Rodgau;-54;N;242;NA;59,0454545454545;59,0202479338843
Rodgau;-52;D;70;NA;61,1285714285714;63,1357142857143
Rodgau;-52;E;25;NA;62,12;63,044
Rodgau;-52;N;10;NA;61,2;63,19
Rodgau;-51;D;39;NA;54,6153846153846;52,6897435897436
Rodgau;-51;E;14;NA;52,3571428571429;52,3142857142857
Rodgau;-51;N;13;NA;53,5384615384615;58,5384615384615
Rodgau;-43;D;17;NA;0;59,1058823529412
Rodgau;-43;E;1;NA;0;66,3
Rodgau;-41;D;129;NA;0;61,8255813953488
Rodgau;-41;E;30;NA;0;57,92
Rodgau;-41;N;33;NA;0;58,5
Rodgau;0;D;689;74,2435558780842;63,2539912917271;63,4140783744557
Rodgau;0;E;206;75,0514077669903;63,5970873786408;62,5723300970874
Rodgau;0;N;164;75,1837195121951;63,640243902439;61,015243902439
Wiesbaden/Erbenheim;-88;D;158;NA;63,5949367088608;54,8158227848101
Wiesbaden/Erbenheim;-88;E;38;NA;60,8421052631579;54,4921052631579
Wiesbaden/Erbenheim;-88;N;3;NA;62,6666666666667;56,6333333333333
