StatNam;StatNr;praef;Fangradius;DEN;Gewichtsklasse;n1;n2;Erfassungsquote;Anfang;Ende;Dauer;Leq
Hanau/Steinheim 1;72;2500;2000;N;nicht heavy;594;812;73%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;36.8124518410701s
Hanau/Steinheim 1;72;2500;2500;D;Alle Gewichtsklassen;13465;20659;65%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;51.5266612688764s
Hanau/Steinheim 1;72;2500;2500;D;heavy;3851;5250;73%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;48.4292955574689s
Hanau/Steinheim 1;72;2500;2500;D;nicht heavy;9614;15409;62%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;48.6017158544608s
Hanau/Steinheim 1;72;2500;2500;E;Alle Gewichtsklassen;5002;7117;70%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;49.9633246217843s
Hanau/Steinheim 1;72;2500;2500;E;heavy;552;707;78%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;43.7774946121297s
Hanau/Steinheim 1;72;2500;2500;E;nicht heavy;4450;6410;69%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;48.7676459244922s
Hanau/Steinheim 1;72;2500;2500;N;Alle Gewichtsklassen;1001;1604;62%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;41.2946123336769s
Hanau/Steinheim 1;72;2500;2500;N;heavy;396;655;60%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;39.268877923698s
Hanau/Steinheim 1;72;2500;2500;N;nicht heavy;605;949;64%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;37.0090262990401s
Hanau/Steinheim 1;72;2500;3000;D;Alle Gewichtsklassen;13490;20833;65%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;51.5322259348395s
Hanau/Steinheim 1;72;2500;3000;D;heavy;3861;5306;73%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;48.4329229324777s
Hanau/Steinheim 1;72;2500;3000;D;nicht heavy;9629;15527;62%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;48.6091415912582s
Hanau/Steinheim 1;72;2500;3000;E;Alle Gewichtsklassen;5011;7196;70%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;49.9705764969729s
Hanau/Steinheim 1;72;2500;3000;E;heavy;553;712;78%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;43.7808343896029s
